2026-03-20 15:14:38,778 | INFO | base_test | TestLogin | test_invalid_login | Starting Test test_invalid_login 
2026-03-20 15:14:41,415 | INFO | base_test | TestLogin | test_invalid_login | launch application in chrome chrome using URL https://www.saucedemo.com/
2026-03-20 15:14:41,444 | INFO | base_test | TestLogin | test_invalid_login | Maximize the window
2026-03-20 15:14:41,574 | INFO | base_page | LoginPage | test_invalid_login | Entered text <<standard_user>> into element with locator: ('id', 'user-name')
2026-03-20 15:14:41,574 | INFO | login_page | LoginPage | test_invalid_login | Username entered:<<standard_user>>
2026-03-20 15:14:41,685 | INFO | base_page | LoginPage | test_invalid_login | Entered text <<secret_sauce1>> into element with locator: ('id', 'password')
2026-03-20 15:14:41,686 | INFO | login_page | LoginPage | test_invalid_login | Password entered:<<secret_sauce1>>
2026-03-20 15:14:41,802 | INFO | base_page | LoginPage | test_invalid_login | Clicked on element : ('id', 'login-button')
2026-03-20 15:14:41,802 | INFO | login_page | LoginPage | test_invalid_login | Login Button clicked
2026-03-20 15:14:41,830 | INFO | base_page | LoginPage | test_invalid_login | Text from element ('xpath', "//h3[@data-test='error']") :  <<Epic sadface: Username and password do not match any user in this service>>
2026-03-20 15:14:41,838 | INFO | login_test | TestLogin | test_invalid_login | Actual error message received: <<Epic sadface: Username and password do not match any user in this service>>
2026-03-20 15:14:45,951 | INFO | base_test | TestLogin | test_invalid_login | Finished test test_invalid_login
